2017-05-05T20:06:45.102+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:45.102+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:47.103+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:47.103+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:47.103+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:47.103+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:47.104+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:47.104+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:47.104+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:47.104+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:47.104+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:49.105+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:49.105+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:49.105+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:49.105+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:49.106+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:49.106+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:49.106+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:49.106+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:49.106+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
2017-05-05T20:06:51.107+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Connecting to localhost:27003
2017-05-05T20:06:51.107+0200 I ASIO     [NetworkInterfaceASIO-Replication-0] Failed to connect to localhost:27003 - HostUnreachable: Connection refused
2017-05-05T20:06:51.107+0200 I REPL     [ReplicationExecutor] Error in heartbeat request to localhost:27003; HostUnreachable: Connection refused
